10-31;19750
10-32;19655
10-33;19560
10-34;19245
10-35;19194
10-36;19207
10-37;18781
10-40;18781
10-41;19207
10-42;19194
10-43;19245
10-44;19560
10-45;19655
10-46;19750
11-26;25615
11-27;24770
11-30;24872
11-31;25080
11-32;22876
11-33;23281
11-34;23686
11-35;24091
11-36;18534
11-37;18742
11-40;18742
11-41;18534
11-42;24091
11-43;23686
11-44;23281
11-45;22876
11-46;25080
11-47;24872
11-50;24770
11-51;25615
12-24;22678
12-25;22583
12-26;22488
12-27;22393
12-30;22298
12-31;
12-32;22358
12-33;22263
12-34;22168
12-35;
12-36;21932
12-37;21883
12-40;22112
12-41;
12-42;21302
12-43;21444
12-44;21492
12-45;
12-46;22203
12-47;22298
12-50;22385
12-51;22488
12-52;22583
12-53;22678
13-22;33834
13-23;33936
13-24;34144
13-25;33299
13-26;33401
13-27;33609
13-30;31364
13-31;31466
13-32;31674
13-33;29409
13-34;30931
13-35;31139
13-36;28094
13-37;28196
13-40;28196
13-41;28094
13-42;31139
13-43;30931
13-44;29409
13-45;31674
13-46;31466
13-47;31364
13-50;33609
13-51;33401
13-52;33299
13-53;34144
13-54;33936
13-55;33834
14-21;20934
14-22;20839
14-23;23189
14-24;20399
14-25;20304
14-26;20209
14-27;20109
14-30;20019
14-31;19924
14-32;19609
14-33;
14-34;19708
14-35;19721
14-36;19823
14-37;18978
14-40;18978
14-41;19823
14-42;19916
14-43;
14-44;19553
14-45;19604
14-46;19919
14-47;20019
14-50;20109
14-51;20204
14-52;20299
14-53;20399
14-54;23189
14-55;20834
14-56;20929
15-20;30495
15-21;30703
15-22;31000
15-23;29960
15-24;30168
15-25;30465
15-26;28020
15-27;28233
15-30;27335
15-31;27543
15-32;26445
15-33;26653
15-34;25755
15-35;25963
15-36;19823
15-37;18978
15-40;18978
15-41;19823
15-42;25963
15-43;25755
15-44;26653
15-45;26445
15-46;27543
15-47;27335
15-50;28233
15-51;28020
15-52;30465
15-53;30168
15-54;29960
15-55;31000
15-56;30703
15-57;30495
16-17;30292
16-20;30394
16-21;
16-22;29704
16-23;27459
16-24;26614
16-25;
16-26;25724
16-27;24879
16-30;18812
16-31;
16-32;19069
16-33;19177
16-34;18432
16-35;
16-36;18689
16-37;18897
16-40;18887
16-41;
16-42;18524
16-43;18422
16-44;19267
16-45;
16-46;18904
16-47;18802
16-50;24969
16-51;
16-52;25659
16-53;26704
16-54;27549
16-55;
16-56;29639
16-57;30484
16-60;30382
17-16;14439
17-17;15974
17-20;22666
17-21;23064
17-22;24356
17-23;24754
17-24;25241
17-25;26591
17-26;26989
17-27;27476
17-30;28626
17-31;29024
17-32;29511
17-33;32061
17-34;32459
17-35;32946
17-36;34149
17-37;34636
17-40;34636
17-41;34149
17-42;32946
17-43;32459
17-44;32061
17-45;29511
17-46;29024
17-47;28626
17-50;27476
17-51;26989
17-52;26591
17-53;25241
17-54;24754
17-55;24356
17-56;23064
17-57;22666
17-60;15974
17-61;14439
20-15;29245
20-16;29347
20-17;29555
20-20;28710
20-21;28812
20-22;29020
20-23;
20-24;26877
20-25;27085
20-26;26187
20-27;
20-30;26550
