12-52;11.07.2009 20:30:15;14.07.2009 16:12:27;
14-22;2.07.2009 12:16:24;3.07.2009 4:9:28;
14-54;5.07.2009 21:51:2;6.07.2009 12:18:26;
16-56;4.07.2009 21:31:9;13.07.2009 13:18:5;
17-37;5.07.2009 22:11:44;10.07.2009 0:11:16;
20-21;13.07.2009 4:35:29;14.07.2009 2:45:14;
21-46;8.07.2009 6:55:35;13.07.2009 18:29:10;
24-64;13.07.2009 13:57:55;14.07.2009 19:20:40;
26-47;10.07.2009 18:56:57;13.07.2009 12:1:17;
34-40;9.07.2009 0:26:33;14.07.2009 4:37:10;
34-54;3.07.2009 19:5:37;11.07.2009 13:27:8;
37-50;10.07.2009 21:25:31;14.07.2009 1:11:6;
35-57;11.07.2009 1:46:38;13.07.2009 6:55:3;
44-51;1.07.2009 7:16:28;6.07.2009 10:36:30;
47-22;9.07.2009 18:13:23;10.07.2009 19:7:30;
50-30;13.07.2009 14:16:40;14.07.2009 3:39:41;
54-62;12.07.2009 19:53:50;14.07.2009 13:13:54;
60-44;8.07.2009 13:24:6;10.07.2009 4:32:38;
60-50;9.07.2009 0:20:15;10.07.2009 15:58:58;
66-32;5.07.2009 5:45:55;7.07.2009 21:37:18;
